CustomerID,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
12346,1,77183.6,326,1,1,5,7,115
12347,7,4310.0,2,5,5,5,15,555
12348,4,1797.24,75,2,4,4,10,244
12349,1,1757.55,19,4,1,4,9,414
12350,1,334.4,310,1,1,2,4,112
12352,8,2506.04,36,3,5,5,13,355
12353,1,89.0,204,1,1,1,3,111
12354,1,1079.4,232,1,1,4,6,114
12355,1,459.4,214,1,1,2,4,112
12356,3,2811.43,23,4,3,5,12,435
12357,1,6207.67,33,4,1,5,10,415
12358,2,1168.06,2,5,2,4,11,524
12359,4,6372.58,58,3,4,5,12,345
12360,3,2662.06,52,3,3,5,11,335
12361,1,189.9,287,1,1,1,3,111
12362,10,5226.23,3,5,5,5,15,555
12363,2,552.0,110,2,2,3,7,223
12364,4,1313.1,8,5,4,4,13,544
12365,2,641.38,291,1,2,3,6,123
12367,1,168.9,4,5,1,1,7,511
12370,4,3545.69,51,3,4,5,12,345
12371,2,1887.96,45,3,2,4,9,324
12372,3,1298.04,72,3,3,4,10,334
12373,1,364.6,311,1,1,2,4,112
12374,1,742.93,25,4,1,3,8,413
12375,2,457.5,11,5,2,2,9,522
12377,2,1628.12,315,1,2,4,7,124
12378,1,4008.62,130,2,1,5,8,215
12379,2,852.24,82,2,2,3,7,223
12380,4,2724.81,22,4,4,5,13,445
12381,5,1845.31,5,5,4,4,13,544
12383,5,1850.56,185,1,4,4,9,144
12384,2,585.27,29,4,2,3,9,423
12386,2,401.9,338,1,2,2,5,122
12388,6,2780.66,16,4,4,5,13,445
12390,1,549.84,80,2,1,3,6,213
12391,1,460.89,22,4,1,2,7,412
12393,4,1582.6,72,3,4,4,11,344
12394,2,1272.48,64,3,2,4,9,324
12395,12,3018.63,19,4,5,5,14,455
12397,2,2409.9,36,3,2,5,10,325
12398,1,1635.66,46,3,1,4,8,314
12399,4,1108.65,119,2,4,4,10,244
12401,1,84.3,303,1,1,1,3,111
12402,1,225.6,323,1,1,1,3,111
12403,1,427.7,50,3,1,2,6,312
12405,1,1710.39,149,2,1,4,7,214
12406,2,3415.3,22,4,2,5,11,425
12407,5,1708.12,50,3,4,4,11,344
12408,5,2888.55,33,4,4,5,13,445
12409,3,11072.67,79,2,3,5,10,235
12410,2,693.33,309,1,2,3,6,123
12412,3,1226.88,75,2,3,4,9,234
12413,3,758.1,67,3,3,3,9,333
12414,3,562.41,217,1,3,3,7,133
12415,21,124914.53,24,4,5,5,14,455
12417,9,3649.1,3,5,5,5,15,555
12418,1,668.58,113,2,1,3,6,213
12420,1,600.39,64,3,1,3,7,313
12421,4,807.04,16,4,4,3,11,443
12422,3,803.56,96,2,3,3,8,233
12423,8,1859.31,1,5,5,4,14,554
12424,2,1760.96,163,2,2,4,8,224
12425,1,777.2,78,2,1,3,6,213
12426,1,582.73,195,1,1,3,5,113
12427,3,825.8,22,4,3,3,10,433
12428,9,7956.46,26,4,5,5,14,455
12429,4,3750.4,9,5,4,5,14,545
12430,1,256.4,43,3,1,2,6,312
12431,15,6487.45,36,3,5,5,13,355
12432,5,5059.32,43,3,4,5,12,345
12433,7,13375.87,1,5,5,5,15,555
12434,2,806.14,85,2,2,3,7,223
12435,2,7829.89,80,2,2,5,9,225
12436,1,509.01,100,2,1,3,6,213
12437,18,4951.41,2,5,5,5,15,555
12438,2,2906.85,14,4,2,5,11,425
12441,1,173.55,367,1,1,1,3,111
12442,1,172.06,3,5,1,1,7,511
12444,5,5005.46,21,4,4,5,13,445
12445,1,133.4,22,4,1,1,6,411
12446,1,1002.31,58,3,1,4,8,314
12447,1,476.49,243,1,1,2,4,112
12448,1,449.45,44,3,1,2,6,312
12449,4,4067.29,22,4,4,5,13,445
12450,2,197.88,156,2,2,1,5,221
12451,5,9035.52,11,5,4,5,14,545
12452,2,430.57,17,4,2,2,8,422
12453,1,707.09,134,2,1,3,6,213
12454,1,3528.34,56,3,1,5,9,315
12455,6,2466.86,73,2,4,5,11,245
12456,3,3181.04,44,3,3,5,11,335
12457,7,2363.23,66,3,5,5,13,355
12458,2,947.4,71,3,2,4,9,324
12461,2,826.88,94,2,2,3,7,223
12462,2,1189.59,19,4,2,4,10,424
12463,4,1344.78,53,3,4,4,11,344
12464,8,1212.05,10,5,5,4,14,554
12465,2,742.19,17,4,2,3,9,423
12468,2,729.54,188,1,2,3,6,123
12471,30,19824.05,2,5,5,5,15,555
12472,7,6572.11,32,4,5,5,14,455
12473,5,3938.55,29,4,4,5,13,445
12474,18,7375.79,17,4,5,5,14,455
12475,1,723.38,54,3,1,3,7,313
12476,11,6816.42,16,4,5,5,14,455
12477,6,13219.74,23,4,4,5,13,445
12478,1,680.99,4,5,1,3,9,513
12479,1,527.2,11,5,1,3,9,513
12480,4,3281.63,28,4,4,5,13,445
12481,10,5596.32,23,4,5,5,14,455
12483,8,2484.98,17,4,5,5,14,455
12484,6,4541.72,33,4,4,5,13,445
12488,3,1298.66,10,5,3,4,12,534
12489,1,334.93,336,1,1,2,4,112
12490,10,5417.93,5,5,5,5,15,555
12491,1,460.4,39,3,1,2,6,312
12492,2,263.21,63,3,2,2,7,322
12493,2,433.74,166,2,2,2,6,222
12494,7,1246.1,16,4,5,4,13,454
12497,1,1043.1,82,2,1,4,7,214
12498,3,403.7,21,4,3,2,9,432
12500,11,4257.82,23,4,5,5,14,455
12501,1,2169.39,337,1,1,5,7,115
12502,5,3723.87,96,2,4,5,11,245
12504,2,482.05,18,4,2,2,8,422
12506,1,73.5,233,1,1,1,3,111
12507,3,1304.81,134,2,3,4,9,234
12508,2,398.27,26,4,2,2,8,422
12509,1,176.5,284,1,1,1,3,111
12510,2,982.57,143,2,2,4,8,224
12512,2,138.03,66,3,2,1,6,321
12513,1,612.29,113,2,1,3,6,213
12514,1,1017.68,267,1,1,4,6,114
12515,1,383.7,353,1,1,2,4,112
12516,2,1312.06,78,2,2,4,8,224
12517,5,2502.84,28,4,4,5,13,445
12518,5,2056.89,1,5,4,4,13,544
12519,1,340.84,64,3,1,2,6,312
12520,5,2634.26,79,2,4,5,11,245
12521,1,599.68,143,2,1,3,6,213
12522,2,192.72,39,3,2,1,6,321
12523,11,1789.77,19,4,5,4,13,454
12524,8,4485.72,9,5,5,5,15,555
12526,3,1316.66,1,5,3,4,12,534
12527,3,348.71,82,2,3,2,7,232
12528,6,1933.48,9,5,5,4,14,554
12530,4,1662.28,60,3,4,4,11,344
12531,1,125.22,15,4,1,1,6,411
12532,1,349.83,30,4,1,2,7,412
12534,1,1089.18,131,2,1,4,7,214
12535,2,716.35,92,2,2,3,7,223
12536,3,12601.83,43,3,3,5,11,335
12538,1,363.95,29,4,1,2,7,412
12539,4,5568.35,22,4,4,5,13,445
12540,17,13400.24,20,4,5,5,14,455
12541,3,981.18,30,4,3,4,11,434
12544,1,372.7,36,3,1,2,6,312
12545,2,1000.39,75,2,2,4,8,224
12546,2,1161.5,47,3,2,4,9,324
12547,2,207.8,198,1,2,1,4,121
12548,1,95.2,166,2,1,1,4,211
12550,1,964.83,79,2,1,4,7,214
12551,1,168.0,358,1,1,1,3,111
12552,2,437.82,39,3,2,2,7,322
12553,10,3692.28,8,5,5,5,15,555
12556,2,603.71,50,3,2,3,8,323
12557,5,11990.96,16,4,4,5,13,445
12558,1,269.96,8,5,1,2,8,512
12559,2,561.71,311,1,2,3,6,123
12560,3,2134.01,5,5,3,5,13,535
12561,1,238.85,303,1,1,1,3,111
12562,7,3781.74,8,5,5,5,15,555
12564,1,456.9,261,1,1,2,4,112
12565,1,145.92,289,1,1,1,3,111
12566,1,351.65,86,2,1,2,5,212
12567,10,9401.28,23,4,5,5,14,455
12569,32,4124.69,2,5,5,5,15,555
12571,2,519.61,40,3,2,3,8,323
12572,2,1020.42,9,5,2,4,11,524
12573,1,160.54,227,1,1,1,3,111
12574,1,218.45,316,1,1,1,3,111
12576,5,1315.83,36,3,4,4,11,344
12577,3,657.8,35,3,3,3,9,333
12578,2,2794.51,21,4,2,5,11,425
12579,1,440.42,78,2,1,2,5,212
12580,1,415.7,247,1,1,2,4,112
12581,1,197.71,40,3,1,1,5,311
12582,2,511.36,239,1,2,3,6,123
12583,15,7281.38,3,5,5,5,15,555
12584,9,2338.15,4,5,5,5,15,555
12585,2,2040.1,234,1,2,4,7,124
12586,1,196.94,17,4,1,1,6,411
12587,1,144.0,8,5,1,1,7,511
12588,1,214.9,39,3,1,1,5,311
12589,2,646.68,29,4,2,3,9,423
12590,2,9864.26,211,1,2,5,8,125
12591,1,452.85,317,1,1,2,4,112
12592,2,437.6,92,2,2,2,6,222
12593,3,418.1,109,2,3,2,7,232
12594,10,3338.22,38,3,5,5,13,355
12596,2,618.27,51,3,2,3,8,323
12597,4,3811.22,19,4,4,5,13,445
12598,8,3023.08,10,5,5,5,15,555
12599,7,1032.58,29,4,5,4,13,454
12600,10,2599.04,29,4,5,5,14,455
12601,5,577.06,190,1,4,3,8,143
12602,1,153.12,59,3,1,1,5,311
12603,1,739.2,22,4,1,3,8,413
12604,2,254.18,79,2,2,2,6,222
12607,1,1579.51,60,3,1,4,8,314
12609,3,1126.85,78,2,3,4,9,234
12610,5,2099.54,23,4,4,5,13,445
12611,1,1193.32,52,3,1,4,8,314
